emp_id,emp_name,department,join_date
1,Employee_1,Sales,2017-01-31
2,Employee_2,Marketing,2015-07-09
3,Employee_3,Finance,2022-07-21
4,Employee_4,Marketing,2019-02-16
5,Employee_5,Marketing,2019-10-23
6,Employee_6,IT,2019-04-09
7,Employee_7,Finance,2017-01-25
8,Employee_8,Finance,2018-12-17
9,Employee_9,Finance,2017-04-15
10,Employee_10,Marketing,2019-07-22
11,Employee_11,Sales,2019-06-17
12,Employee_12,Finance,2020-01-10
13,Employee_13,Marketing,2015-05-13
14,Employee_14,IT,2015-02-24
15,Employee_15,Sales,2016-05-24
16,Employee_16,IT,2016-10-31
17,Employee_17,Sales,2024-11-21
18,Employee_18,Marketing,2021-09-23
19,Employee_19,HR,2023-12-27
20,Employee_20,Sales,2019-08-17
21,Employee_21,IT,2018-08-09
22,Employee_22,Marketing,2023-04-23
23,Employee_23,Sales,2017-01-03
24,Employee_24,HR,2023-09-22
25,Employee_25,HR,2019-08-21
26,Employee_26,Finance,2015-09-16
27,Employee_27,Finance,2018-02-19
28,Employee_28,IT,2015-10-26
29,Employee_29,Sales,2024-06-14
30,Employee_30,Sales,2016-07-14
31,Employee_31,Finance,2020-03-27
32,Employee_32,Sales,2020-02-08
33,Employee_33,Sales,2024-10-12
34,Employee_34,HR,2015-10-24
35,Employee_35,Finance,2021-08-06
36,Employee_36,Marketing,2022-03-21
37,Employee_37,Finance,2024-09-04
38,Employee_38,Marketing,2019-01-01
39,Employee_39,HR,2020-12-14
40,Employee_40,IT,2015-07-16
41,Employee_41,Sales,2021-03-18
42,Employee_42,HR,2017-09-21
43,Employee_43,Sales,2020-11-08
44,Employee_44,IT,2021-09-24
45,Employee_45,IT,2015-01-08
46,Employee_46,HR,2022-02-04
47,Employee_47,IT,2021-11-20
48,Employee_48,Marketing,2015-11-16
49,Employee_49,IT,2018-11-18
50,Employee_50,Sales,2021-05-05
51,Employee_51,Sales,2023-12-07
52,Employee_52,Sales,2019-08-26
53,Employee_53,Sales,2020-10-09
54,Employee_54,Marketing,2019-01-01
55,Employee_55,Finance,2018-07-11
56,Employee_56,HR,2022-10-15
57,Employee_57,Sales,2018-01-23
58,Employee_58,IT,2016-07-06
59,Employee_59,Sales,2023-02-21
60,Employee_60,IT,2024-09-11
61,Employee_61,IT,2016-10-22
62,Employee_62,Sales,2016-12-16
63,Employee_63,Marketing,2022-09-27
64,Employee_64,IT,2024-10-25
65,Employee_65,IT,2021-02-19
66,Employee_66,Sales,2021-12-04
67,Employee_67,IT,2024-04-30
68,Employee_68,IT,2018-12-29
69,Employee_69,Sales,2023-12-12
70,Employee_70,Sales,2017-05-04
71,Employee_71,HR,2024-02-03
72,Employee_72,Marketing,2021-12-20
73,Employee_73,Marketing,2021-03-09
74,Employee_74,IT,2016-10-26
75,Employee_75,Marketing,2022-06-10
76,Employee_76,IT,2024-09-07
77,Employee_77,HR,2020-03-12
78,Employee_78,Sales,2019-08-02
79,Employee_79,Sales,2021-03-18
80,Employee_80,Sales,2015-09-30
81,Employee_81,Marketing,2018-03-23
82,Employee_82,HR,2018-06-26
83,Employee_83,Marketing,2015-10-06
84,Employee_84,Marketing,2024-08-12
85,Employee_85,HR,2017-03-26
86,Employee_86,HR,2015-10-03
87,Employee_87,HR,2017-10-01
88,Employee_88,HR,2022-01-05
89,Employee_89,Sales,2023-08-26
90,Employee_90,Finance,2017-07-11
91,Employee_91,Finance,2016-10-03
92,Employee_92,HR,2016-05-19
93,Employee_93,Finance,2022-03-22
94,Employee_94,Finance,2017-02-10
95,Employee_95,HR,2018-06-18
96,Employee_96,Finance,2022-08-19
97,Employee_97,Marketing,2022-06-15
98,Employee_98,IT,2018-06-13
99,Employee_99,IT,2017-10-10
100,Employee_100,HR,2015-05-08
101,Employee_101,Sales,2021-12-25
102,Employee_102,HR,2018-05-08
103,Employee_103,Sales,2023-01-28
104,Employee_104,IT,2022-02-03
105,Employee_105,HR,2019-03-06
106,Employee_106,Marketing,2019-08-01
107,Employee_107,Finance,2016-05-06
108,Employee_108,Sales,2023-06-20
109,Employee_109,Finance,2018-06-11
110,Employee_110,Finance,2022-07-24
111,Employee_111,HR,2022-10-09
112,Employee_112,Finance,2019-07-25
113,Employee_113,Marketing,2016-02-20
114,Employee_114,Finance,2021-01-04
115,Employee_115,HR,2017-08-27
116,Employee_116,Marketing,2020-09-07
117,Employee_117,IT,2018-10-16
118,Employee_118,Finance,2015-11-04
119,Employee_119,HR,2021-01-18
120,Employee_120,IT,2022-12-26
121,Employee_121,IT,2022-12-09
122,Employee_122,Sales,2015-03-02
123,Employee_123,Marketing,2020-12-12
124,Employee_124,Finance,2019-01-19
125,Employee_125,HR,2023-08-09
126,Employee_126,Sales,2022-11-25
127,Employee_127,Marketing,2020-04-14
128,Employee_128,Sales,2021-11-18
129,Employee_129,Marketing,2021-04-09
130,Employee_130,Marketing,2019-02-22
131,Employee_131,Finance,2024-01-06
132,Employee_132,Marketing,2016-04-17
133,Employee_133,Sales,2017-08-16
134,Employee_134,Marketing,2016-06-16
135,Employee_135,Finance,2016-05-08
136,Employee_136,Finance,2023-01-25
137,Employee_137,Sales,2015-03-23
138,Employee_138,IT,2022-12-13
139,Employee_139,IT,2017-05-28
140,Employee_140,Marketing,2019-03-26
141,Employee_141,HR,2023-02-18
142,Employee_142,Marketing,2015-01-12
143,Employee_143,Sales,2018-07-10
144,Employee_144,Sales,2016-03-24
145,Employee_145,Sales,2023-12-08
146,Employee_146,Sales,2017-01-31
147,Employee_147,Sales,2023-09-21
148,Employee_148,Finance,2015-01-26
149,Employee_149,IT,2019-12-12
150,Employee_150,Sales,2024-10-10
151,Employee_151,HR,2021-12-30
152,Employee_152,HR,2019-04-18
153,Employee_153,HR,2015-03-03
154,Employee_154,HR,2015-08-17
155,Employee_155,Finance,2020-01-13
156,Employee_156,HR,2016-08-29
157,Employee_157,Sales,2017-11-24
158,Employee_158,Marketing,2019-09-25
159,Employee_159,HR,2019-01-19
160,Employee_160,Finance,2023-01-17
161,Employee_161,Finance,2019-03-06
162,Employee_162,HR,2017-01-30
163,Employee_163,Marketing,2016-08-17
164,Employee_164,HR,2023-06-24
165,Employee_165,Finance,2019-05-12
166,Employee_166,IT,2017-11-21
167,Employee_167,Sales,2020-01-29
168,Employee_168,Finance,2023-06-11
169,Employee_169,HR,2024-04-13
170,Employee_170,Sales,2020-08-10
171,Employee_171,HR,2018-12-29
172,Employee_172,HR,2020-02-05
173,Employee_173,IT,2018-03-05
174,Employee_174,Sales,2018-05-04
175,Employee_175,Sales,2015-05-13
176,Employee_176,IT,2015-03-27
177,Employee_177,Finance,2019-02-08
178,Employee_178,HR,2020-01-05
179,Employee_179,Marketing,2024-04-18
180,Employee_180,HR,2018-04-18
181,Employee_181,HR,2022-01-07
182,Employee_182,Finance,2015-06-24
183,Employee_183,HR,2022-09-11
184,Employee_184,IT,2023-06-20
185,Employee_185,IT,2023-05-03
186,Employee_186,Sales,2020-05-29
187,Employee_187,Marketing,2023-09-12
188,Employee_188,HR,2016-07-31
189,Employee_189,HR,2024-08-15
190,Employee_190,Finance,2019-12-04
191,Employee_191,IT,2020-09-27
192,Employee_192,Marketing,2022-01-19
193,Employee_193,Sales,2015-05-25
194,Employee_194,IT,2024-05-04
195,Employee_195,Sales,2017-01-31
