emp_id,salary,bonus
1,120047,11659
2,63427,25644
3,114042,26929
4,58395,8044
5,139839,8883
6,142306,24324
7,122662,20351
8,125002,26545
9,47970,23204
10,100218,28268
11,144006,20762
12,106475,24186
13,104362,23847
14,53371,8371
15,125482,28606
16,119895,13527
17,49266,15116
18,133553,26360
19,49195,26451
20,140949,28885
21,57315,7788
22,113804,9125
23,105246,8606
24,71581,22924
25,75537,13766
26,109697,5220
27,127357,26306
28,149761,15205
29,105265,15833
30,143984,26997
31,144451,5753
32,122449,18875
33,52184,12488
34,53279,12206
35,56570,14680
36,73030,12938
37,92245,23345
38,85467,10958
39,149618,20770
40,65133,24867
41,108731,11635
42,73805,13629
43,73998,22166
44,47238,26487
45,111088,25551
46,98264,17869
47,145603,21603
48,78245,14219
49,53557,13029
50,100474,28530
51,126738,21272
52,95667,21673
53,121228,21763
54,115513,17165
55,95074,16043
56,88204,14570
57,128597,11886
58,122800,6958
59,55575,15319
60,110263,29641
61,106024,7183
62,50069,8774
63,54400,25303
64,54146,19272
65,36846,27586
66,70352,5777
67,53694,7566
68,51740,15095
69,79438,15953
70,60996,12404
71,93874,5078
72,127661,6581
73,136945,19066
74,89682,12967
75,74200,12839
76,52970,7162
77,40895,22869
78,68071,27129
79,82268,18913
80,52258,24004
81,118890,5964
82,126177,15739
83,87300,7673
84,91915,10293
85,38444,28643
86,105147,6718
87,106064,15624
88,145923,6228
89,96535,15602
90,33760,25162
91,66884,6840
92,132715,21881
93,117477,21920
94,56022,24689
95,84504,12124
96,73130,14356
97,73881,23355
98,92399,12587
99,66451,8527
100,81413,5299
101,122057,23770
102,92278,17590
103,143286,8963
104,59639,9687
105,64621,9171
106,126985,25243
107,43079,18067
108,36895,8695
109,123515,14112
110,82142,12242
111,141239,14941
112,42552,27515
113,122930,25001
114,78821,7700
115,127812,22389
116,63630,23085
117,100063,24686
118,42247,18339
119,47603,20834
120,132099,24750
121,75564,16084
122,141038,8162
123,30527,13306
124,86521,18137
125,98458,7137
126,35849,26236
127,125836,21414
128,123316,10948
129,80314,19693
130,75724,21099
131,123676,21210
132,47230,23189
133,122229,27797
134,102495,8569
